rfp_id,sku_id,category,final_score,baseline_score,structured_score,semantic_score,standards_score,shap_structured,shap_semantic,shap_standards,dominant_feature
RFP_6343,SKU_257,partially matching,0.595323896408081,0.6691409972959177,0.8,0.6510796546936035,0.0,0.05485772560772567,0.011325173504437736,-0.13999999999999999,Standards score
RFP_6344,SKU_125,matching,0.7594613639207985,0.6691409972959177,0.6923076923076923,0.711025059223175,1.0,0.0010115717615717945,0.029308794863309194,0.06000000000000001,Standards score
RFP_6345,SKU_165,partially matching,0.7050780919881967,0.6691409972959177,0.6923076923076923,0.529747486114502,1.0,0.0010115717615717945,-0.025074477069292733,0.06000000000000001,Standards score
RFP_6346,SKU_224,matching,0.7976242303848267,0.6691409972959177,0.8,0.6587474346160889,1.0,0.05485772560772567,0.01362550748118334,0.06000000000000001,Standards score
RFP_6347,SKU_237,partially matching,0.7156120121479035,0.6691409972959177,0.7,0.5520400404930115,1.0,0.004857725607725627,-0.018386710755739877,0.06000000000000001,Standards score
RFP_6348,SKU_173,matching,0.7749088357795368,0.6691409972959177,0.7272727272727273,0.7042415738105774,1.0,0.018494089244089296,0.0272737492395299,0.06000000000000001,Standards score
RFP_6349,SKU_166,partially matching,0.4459465430842505,0.6691409972959177,0.5555555555555556,0.5605625510215759,0.0,-0.06736449661449656,-0.01582995759717054,-0.13999999999999999,Standards score
RFP_6350,SKU_236,partially matching,0.7049863110889087,0.6691409972959177,0.7272727272727273,0.4711664915084839,1.0,0.018494089244089296,-0.04264877545109815,0.06000000000000001,Standards score
RFP_6351,SKU_290,partially matching,0.6235439914923449,0.6691409972959177,0.46153846153846156,0.6425825357437134,1.0,-0.11437304362304357,0.008776037819470695,0.06000000000000001,Structured score
RFP_6352,SKU_155,matching,0.7801183938980103,0.6691409972959177,0.75,0.6837279796600342,1.0,0.02985772560772565,0.021119670994366933,0.06000000000000001,Standards score
RFP_6353,SKU_228,partially matching,0.56387699842453,0.6691409972959177,0.4,0.5462566614151001,1.0,-0.14514227439227434,-0.020121724479113288,0.06000000000000001,Structured score
RFP_6354,SKU_285,matching,0.7670404862273823,0.6691409972959177,0.7272727272727273,0.6780137419700623,1.0,0.018494089244089296,0.01940539968737536,0.06000000000000001,Standards score
