rfp_id,model,score_clean,score_start,score_middle,score_end,delta_start,delta_middle,delta_end,rank_stable_start,rank_stable_middle,rank_stable_end
RFP_0012,SBERT MPNet (sem-only),0.7054178714752197,0.6080851554870605,0.5638539791107178,0.5747491121292114,-0.09733271598815918,-0.14156389236450195,-0.1306687593460083,True,False,False
RFP_0012,SBERT MiniLM-L6,0.6140553951263428,0.6250260472297668,0.544198751449585,0.5314748287200928,0.010970652103424072,-0.06985664367675781,-0.08258056640625,True,False,False
RFP_0012,TF-IDF + Cosine,0.03060932457447052,0.0191130880266428,0.05085721239447594,0.0658106654882431,-0.01149623654782772,0.020247887820005417,0.03520134091377258,True,False,False
RFP_0012,BM25 (Okapi),1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
RFP_0012,Exact Structured,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,True,True,True
RFP_0012,Hybrid (Ours),0.793232262134552,0.7544822096824646,0.7374523878097534,0.7538547515869141,-0.0387500524520874,-0.055779874324798584,-0.03937751054763794,True,True,True
RFP_0013,SBERT MPNet (sem-only),0.6573748588562012,0.5354971885681152,0.5153408050537109,0.5463292598724365,-0.12187767028808594,-0.14203405380249023,-0.11104559898376465,True,False,False
RFP_0013,SBERT MiniLM-L6,0.6466195583343506,0.6046189069747925,0.5896438360214233,0.6053334474563599,-0.042000651359558105,-0.056975722312927246,-0.04128611087799072,False,False,False
RFP_0013,TF-IDF + Cosine,0.05150103196501732,0.0344608798623085,0.02802428789436817,0.03408392146229744,-0.017040152102708817,-0.023476744070649147,-0.01741711050271988,True,True,True
RFP_0013,BM25 (Okapi),1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
RFP_0013,Exact Structured,0.75,0.75,0.75,0.75,0.0,0.0,0.0,True,True,True
RFP_0013,Hybrid (Ours),0.7143089175224304,0.6773754358291626,0.6627880334854126,0.6719629764556885,-0.03693348169326782,-0.05152088403701782,-0.04234594106674194,True,True,True
RFP_0014,SBERT MPNet (sem-only),0.7065973281860352,0.6337153911590576,0.567758321762085,0.6041272282600403,-0.07288193702697754,-0.1388390064239502,-0.10247009992599487,False,False,False
RFP_0014,SBERT MiniLM-L6,0.6733002662658691,0.6652842164039612,0.6576899886131287,0.5939453840255737,-0.008016049861907959,-0.015610277652740479,-0.07935488224029541,True,False,True
RFP_0014,TF-IDF + Cosine,0.08914176374673843,0.05727441981434822,0.041541218757629395,0.05005854368209839,-0.03186734393239021,-0.04760054498910904,-0.039083220064640045,True,True,True
RFP_0014,BM25 (Okapi),1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
RFP_0014,Exact Structured,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.0,0.0,0.0,True,True,True
RFP_0014,Hybrid (Ours),0.6602935791015625,0.6386816501617432,0.6170797348022461,0.6265572905540466,-0.021611928939819336,-0.043213844299316406,-0.03373628854751587,True,True,True
RFP_0015,SBERT MPNet (sem-only),0.708702564239502,0.511551022529602,0.5126270651817322,0.5977940559387207,-0.1971515417098999,-0.19607549905776978,-0.11090850830078125,False,False,False
RFP_0015,SBERT MiniLM-L6,0.638836145401001,0.5859878063201904,0.5638068914413452,0.5509991645812988,-0.05284833908081055,-0.07502925395965576,-0.08783698081970215,False,False,False
RFP_0015,TF-IDF + Cosine,0.15610450506210327,0.10146892070770264,0.0786408856511116,0.09619217365980148,-0.054635584354400635,-0.07746361941099167,-0.05991233140230179,True,True,True
RFP_0015,BM25 (Okapi),1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
RFP_0015,Exact Structured,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.0,0.0,0.0,True,True,True
RFP_0015,Hybrid (Ours),0.8000034093856812,0.754593014717102,0.76984041929245,0.7709877490997314,-0.0454103946685791,-0.0301629900932312,-0.029015660285949707,True,True,True
RFP_0016,SBERT MPNet (sem-only),0.6892609596252441,0.5270568132400513,0.5046310424804688,0.5720883011817932,-0.16220414638519287,-0.1846299171447754,-0.11717265844345093,False,False,False
RFP_0016,SBERT MiniLM-L6,0.6273643374443054,0.5396957397460938,0.4809291958808899,0.490172803401947,-0.08766859769821167,-0.14643514156341553,-0.1371915340423584,False,False,False
RFP_0016,TF-IDF + Cosine,0.05007637292146683,0.03771909698843956,0.03206539899110794,0.03780347481369972,-0.012357275933027267,-0.018010973930358887,-0.012272898107767105,True,True,True
RFP_0016,BM25 (Okapi),1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
RFP_0016,Exact Structured,0.692307710647583,0.692307710647583,0.692307710647583,0.692307710647583,0.0,0.0,0.0,True,True,True
RFP_0016,Hybrid (Ours),0.5111442804336548,0.4642971158027649,0.4555509686470032,0.4744056463241577,-0.04684716463088989,-0.05559331178665161,-0.03673863410949707,True,True,True
RFP_0017,SBERT MPNet (sem-only),0.6815707683563232,0.6241669058799744,0.5633300542831421,0.5637522339820862,-0.05740386247634888,-0.11824071407318115,-0.11781853437423706,False,False,False
RFP_0017,SBERT MiniLM-L6,0.7288169264793396,0.7457390427589417,0.6837084293365479,0.6279985308647156,0.01692211627960205,-0.04510849714279175,-0.10081839561462402,True,True,True
RFP_0017,TF-IDF + Cosine,0.29014188051223755,0.20609301328659058,0.16773439943790436,0.20432212948799133,-0.08404886722564697,-0.12240748107433319,-0.08581975102424622,True,True,True
RFP_0017,BM25 (Okapi),1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
RFP_0017,Exact Structured,0.75,0.75,0.75,0.75,0.0,0.0,0.0,True,True,True
RFP_0017,Hybrid (Ours),0.6574297547340393,0.6428236961364746,0.6315242648124695,0.626849353313446,-0.014606058597564697,-0.025905489921569824,-0.03058040142059326,True,True,True
